Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2016-17,2017-18,2018-19,2019-20,2020-21,Source document,Source table,URL
Agriculture Portfolio,Murray-Darling Basin Authority,"Outcome 1: Equitable and sustainable use of the Murray-Darling Basin by governments and the community including through development and implementation of a Basin Plan, operation of the River Murray system, shared natural resource management programs, research, information and advice.",Program 1.1: Murray-Darling Basin Authority,Departmental Expenses,Revenues from other independent sources,,91184,97231,97648,93853,103691,2017-18 PBS - MDBA tables.XLSX,MDBA Table 2.1 ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Program 1.1: Rural Industries Research and Development ,Departmental Expenses,Revenue from Government,Payment from related entities,10170,10342,10470,10220,9358,2017-18 PBS - RIRDC tables.XLSX,RIRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Program 1.1: Rural Industries Research and Development ,Departmental Expenses,Special appropriations,"Primary Industries Research and Development Act 1989, s. 30(3) – Rural Industries R&D Corporation",7457,11433,10854,10659,10717,2017-18 PBS - RIRDC tables.XLSX,RIRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Program 1.1: Rural Industries Research and Development ,Departmental Expenses,Revenues from industry sources ,,1623,4010,3657,4124,1320,2017-18 PBS - RIRDC tables.XLSX,RIRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Program 1.1: Rural Industries Research and Development ,Departmental Expenses,Revenues from other independent sources,,2081,1439,1437,1376,1315,2017-18 PBS - RIRDC tables.XLSX,RIRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Program 1.1: Rural Industries Research and Development ,Departmental Expenses,Reserves,,7650,3020,0,0,0,2017-18 PBS - RIRDC tables.XLSX,RIRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate.",Program 1.1: Administrative Appeals Tribunal,Administered Expenses,Special appropriations,,9000,9000,9000,9000,9000,Administrative Appeals Tribunal 2017-18 PBS tables.xlsx,Table 2.1 NCCE  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate.",Program 1.1: Administrative Appeals Tribunal,Departmental Expenses,Departmental appropriation,,142136,156013,158425,154413,137032,Administrative Appeals Tribunal 2017-18 PBS tables.xlsx,Table 2.1 NCCE  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate.",Program 1.1: Administrative Appeals Tribunal,Departmental Expenses,s74 retained revenue receipts,,1177,1177,1177,300,304,Administrative Appeals Tribunal 2017-18 PBS tables.xlsx,Table 2.1 NCCE  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate.",Program 1.1: Administrative Appeals Tribunal,Departmental Expenses,Expenses not requiring appropriation in the budget year,,7669,7651,7922,5695,5778,Administrative Appeals Tribunal 2017-18 PBS tables.xlsx,Table 2.1 NCCE  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,"Program 1.1: Attorney-General’s Department Operating Expenses—
Civil Justice and Legal Services",Departmental Expenses,Departmental appropriation,,62679,64320,58899,52679,53186,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,"Program 1.1: Attorney-General’s Department Operating Expenses—
Civil Justice and Legal Services",Departmental Expenses,s74 retained revenue receipts,,8052,3816,3171,3193,3413,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,"Program 1.1: Attorney-General’s Department Operating Expenses—
Civil Justice and Legal Services",Departmental Expenses,Expenses not requiring appropriation in the budget year,,12287,7774,8574,9710,10046,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,"Program 1.2: Attorney-General’s Department Operating Expenses—
National Security and Criminal Justice",Departmental Expenses,Departmental appropriation,,137210,139650,137895,138668,118058,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,"Program 1.2: Attorney-General’s Department Operating Expenses—
National Security and Criminal Justice",Departmental Expenses,s74 retained revenue receipts,,35338,38797,37944,38547,38224,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,"Program 1.2: Attorney-General’s Department Operating Expenses—
National Security and Criminal Justice",Departmental Expenses,Expenses not requiring appropriation in the budget year,,15152,9666,10652,12041,12426,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.3: Australian Government Solicitor,Departmental Expenses,Special account,,147109,147888,149722,151407,154253,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Community Legal Services Program,8016,8989,10185,2991,3179,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Courts and tribunals reform,0,0,150,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Expensive Commonwealth Criminal Cases Fund,4610,3675,3722,3769,3799,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Family Court of Western Australia,13708,13991,14188,14355,14469,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Financial assistance towards legal costs and related expenses,3080,3316,3357,3398,3425,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Financial assistance towards legal costs and related expenses—expenses for witnesses to the Royal Commission into Institutional Responses to Child Sexual Abuse,5940,660,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Financial assistance towards legal costs and related expenses—expenses for witnesses to the Royal Commission into the Protection and Detention of Children in the Northern Territory,5005,0,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Native Title Respondents Scheme,1825,1650,1676,1696,1699,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for grants to Australian organisations,983,1009,977,989,997,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for membership of international bodies,444,353,364,375,378,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for services under the Family Law Act 1975 and the Child Support Scheme legislation,1734,1758,1783,1804,1822,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for the provision of community legal services—legal advice service supporting the Royal Commission into Institutional Responses to Child Sexual Abuse,5000,6200,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for the provision of community legal services—legal advice supporting the Royal Commission into the Protection and Detention of Children in the Northern Territory,1970,0,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Payments to Law Courts Limited for contributions to operating and capital expenses,3454,3492,3534,3576,3605,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Payments to corporate entities,Australian Human Rights Commission,0,14439,16290,16353,16434,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Special appropriations,Law Officers Act 1964,450,450,450,450,450,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Special appropriations,"Public Governance, Performance and Accountability Act 2013 s 77",34,34,34,34,34,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.4: Justice Services,Administered Expenses,Expenses not requiring appropriation in the budget year,,7179,7179,7179,7179,7179,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.5: Family Relationships,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Family Relationships Services Program ,163378,166509,168551,168068,169416,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.6: Indigenous Legal and Native Title Assistance,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Indigenous Legal Assistance Program,73585,74463,74365,75276,70173,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.6: Indigenous Legal and Native Title Assistance,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Native title system,302,309,318,322,336,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Asia–Pacific Rule of Law Aid,1360,0,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),ASNet Support to National Security Committee ministers,1338,1741,1884,1762,1566,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Australia – New Zealand Counter-Terrorism Committee—special fund and operating expenses,11703,13517,13747,13903,13952,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Australia’s contribution to the International Criminal Court (e ),8128,0,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Counter-terrorism exercises,1067,1079,1092,1104,1113,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Countering Violent Extremism to Prevent Terrorism,7463,9287,6141,6141,6141,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Data retention industry capital assistance,128351,0,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),"Disaster Resilience Australia—
Emergency Warning System Database",1741,1762,1781,1802,1816,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Disaster Resilience Australia Package,2110,2134,2158,2185,2202,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),National aerial firefighting,14804,14804,14953,15147,15147,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Attorney-General's Portfolio,Attorney General's Department,Outcome 1: A just and secure society through the maintenance and improvement of Australia's law and justice framework and its national security and emergency management system.,Program 1.7: National Security and Criminal Justice,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),National Facial Biometric Matching Capability,0,0,0,0,0,Attorney-General's Department 2017-18 PBS tables.xlsx,Outcome 1 Table 2.1.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
